food_description,code,nutrient_amount,nutrient_name,nutrient_unit,food_category_id,food_category
Tuna; chunk light; canned in water; drained solids,1500.0,1.1,Total lipid (fat),G,15.0,Finfish and Shellfish Products
Tuna; chunk light; canned in water; drained solids,1500.0,1.0,Total lipid (fat),G,15.0,Finfish and Shellfish Products
Tuna; chunk light; canned in water; drained solids,1500.0,1.0,Total lipid (fat),G,15.0,Finfish and Shellfish Products
Tuna; chunk light; canned in water; drained solids,1500.0,1.1,Total lipid (fat),G,15.0,Finfish and Shellfish Products
"Fish, tuna, light, canned in water, drained solids",1500.0,0.08,"Carbohydrate, by difference",G,15.0,Finfish and Shellfish Products
"Fish, tuna, light, canned in water, drained solids",1500.0,19.0,Protein,G,15.0,Finfish and Shellfish Products
"Fish, tuna, light, canned in water, drained solids",1500.0,0.94,Total lipid (fat),G,15.0,Finfish and Shellfish Products
"Fish, tuna, light, canned in water, drained solids",1500.0,376.0,Energy,kJ,15.0,Finfish and Shellfish Products
"Fish, tuna, light, canned in water, drained solids",1500.0,90.0,Energy,KCAL,15.0,Finfish and Shellfish Products
"Proximates, Sugar, Granulated, White, store brand (CA2, NC1, OK1) - NFY040XER",1900.0,0.33,Total lipid (fat),G,19.0,Sweets
"Proximates, Sugar, Granulated, White, Name brand (CA2, NC1, OK1) - NFY040XDN",1900.0,0.22,Total lipid (fat),G,19.0,Sweets
"Proximates, Sugar, Granulated, White, Name brand (CO2, CT1, IN1) - NFY040XDX",1900.0,0.19,Total lipid (fat),G,19.0,Sweets
"Proximates, Sugar, Granulated, White, Name brand (FL1, MO1, NY1) - NFY040XE7",1900.0,0.11,Total lipid (fat),G,19.0,Sweets
"Proximates, Sugar, Granulated, White, store brand (CO2, CT1, IN1) - NFY040XF1",1900.0,0.55,Total lipid (fat),G,19.0,Sweets
"Total lipid, Sugar, Granulated, White, name brand (AL1, CA1, MI1) - NFY040XEJ",1900.0,0.0,Total lipid (fat),G,19.0,Sweets
"Proximates, Sugar, Granulated, White, Name brand (AL1, CA1, MI1) - NFY040XEH",1900.0,0.64,Total lipid (fat),G,19.0,Sweets
"Proximates, Sugar, Granulated, White, store brand (FL1, MO1, NY1) - NFY040XFB",1900.0,0.33,Total lipid (fat),G,19.0,Sweets
"Proximates, Sugar, Granulated, White, store brand (AL1, CA1, MI1) - NFY040XFL",1900.0,0.48,Total lipid (fat),G,19.0,Sweets
"Sugars, granulated",1900.0,385.0,Energy,KCAL,19.0,Sweets
"Sugars, granulated",1900.0,99.6,"Carbohydrate, by difference",G,19.0,Sweets
"Sugars, granulated",1900.0,1610.0,Energy,kJ,19.0,Sweets
"Sugars, granulated",1900.0,0.0,Protein,G,19.0,Sweets
"Sugars, granulated",1900.0,0.32,Total lipid (fat),G,19.0,Sweets
"Proximates, Sweet And Sour Pork, Chinese restaurant (IN1,NY1) - NFY0903IK",3600.0,14.8,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Sweet And Sour Pork, Chinese restaurant (CA2,NC1) - NFY0903JU",3600.0,3.34,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Sweet And Sour Pork, Chinese restaurant (CA1,VA) - NFY0903J7",3600.0,17.0,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Sweet And Sour Pork, Chinese restaurant (MI1,VA3) - NFY0903LR",3600.0,16.0,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Sweet And Sour Pork, Chinese restaurant (CO1,CT1) - NFY0903KH",3600.0,14.2,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Sweet And Sour Pork, Chinese restaurant (VA2,WV) - NFY0903L4",3600.0,16.4,Total lipid (fat),G,25.0,Restaurant Foods
"Restaurant, Chinese, sweet and sour pork",3600.0,25.5,"Carbohydrate, by difference",G,25.0,Restaurant Foods
"Restaurant, Chinese, sweet and sour pork",3600.0,260.0,Energy,KCAL,25.0,Restaurant Foods
"Restaurant, Chinese, sweet and sour pork",3600.0,8.88,Protein,G,25.0,Restaurant Foods
"Restaurant, Chinese, sweet and sour pork",3600.0,1090.0,Energy,kJ,25.0,Restaurant Foods
"Restaurant, Chinese, sweet and sour pork",3600.0,13.6,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (NY) - NFY1209PM",3600.0,2.16,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (IN) - NFY120A4R",3600.0,3.05,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (AL) - NFY1209PT",3600.0,3.84,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (NC) - NFY1209QE",3600.0,1.34,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (CA1) - NFY1209Q0",3600.0,6.44,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (CO) - NFY1209QL",3600.0,4.23,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (CA2) - NFY1209Q7",3600.0,2.38,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (MO) - NFY1209R6",3600.0,2.85,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (MI) - NFY1209RD",3600.0,4.27,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (CT) - NFY1209QS",3600.0,1.97,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (FL) - NFY1209QZ",3600.0,2.49,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (OK) - NFY1209RK",3600.0,3.24,Total lipid (fat),G,25.0,Restaurant Foods
"Restaurant, Chinese, fried rice, without meat",3600.0,174.0,Energy,KCAL,25.0,Restaurant Foods
"Restaurant, Chinese, fried rice, without meat",3600.0,729.0,Energy,kJ,25.0,Restaurant Foods
"Restaurant, Chinese, fried rice, without meat",3600.0,32.5,"Carbohydrate, by difference",G,25.0,Restaurant Foods
"Restaurant, Chinese, fried rice, without meat",3600.0,3.19,Total lipid (fat),G,25.0,Restaurant Foods
"Restaurant, Chinese, fried rice, without meat",3600.0,3.84,Protein,G,25.0,Restaurant Foods
"Proximates, Tamale, Pork (NM) - NFY09029O",3600.0,9.12,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Tamale, Pork (CA-SB) - NFY090294",3600.0,9.57,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Tamale, Pork (TX-HA,NV) - NFY0902AA",3600.0,10.9,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Tamale, Pork (CA-AL,IL) - NFY09027Y",3600.0,9.23,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Tamale, Pork (CA-LA,CA-SD) - NFY0902AU",3600.0,10.2,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Tamale, Pork (TX-TR) - NFY09028I",3600.0,5.19,Total lipid (fat),G,25.0,Restaurant Foods
"Restaurant, Latino, tamale, pork",3600.0,9.04,Total lipid (fat),G,25.0,Restaurant Foods
"Restaurant, Latino, tamale, pork",3600.0,15.8,"Carbohydrate, by difference",G,25.0,Restaurant Foods
"Restaurant, Latino, tamale, pork",3600.0,728.0,Energy,kJ,25.0,Restaurant Foods
"Restaurant, Latino, tamale, pork",3600.0,7.38,Protein,G,25.0,Restaurant Foods
"Restaurant, Latino, tamale, pork",3600.0,174.0,Energy,KCAL,25.0,Restaurant Foods
"Proximates, Pupusas, Bean, flat stuffed corn biscuit (CA-AL,IL) - NFY0901VC",3600.0,9.3,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Pupusas, Bean, flat stuffed corn biscuit (TX-HA,NV) - NFY0901XC",3600.0,9.46,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Pupusas, Bean, flat stuffed corn biscuit (FL,CA-SB) - NFY0901WC",3600.0,11.3,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Pupusas, Bean, flat stuffed corn biscuit (TX-TR) - NFY0901VT",3600.0,5.08,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Pupusas, Bean, flat stuffed corn biscuit (CA-LA) - NFY0901XT",3600.0,10.7,Total lipid (fat),G,25.0,Restaurant Foods
"Proximates, Pupusas, Bean, flat stuffed corn biscuit (MD,NM) - NFY0901WT",3600.0,8.23,Total lipid (fat),G,25.0,Restaurant Foods
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",3600.0,229.0,Energy,KCAL,25.0,Restaurant Foods
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",3600.0,5.59,Protein,G,25.0,Restaurant Foods
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",3600.0,9.01,Total lipid (fat),G,25.0,Restaurant Foods
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",3600.0,959.0,Energy,kJ,25.0,Restaurant Foods
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",3600.0,31.5,"Carbohydrate, by difference",G,25.0,Restaurant Foods
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 3, lowerchoice",1300.0,22.4,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 3, lowerchoice",1300.0,6.99,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 14, lowerchoice",1300.0,6.9,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 14, lowerchoice",1300.0,23.8,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 1, upperchoice",1300.0,21.7,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 1, upperchoice",1300.0,10.4,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 12, upperchoice",1300.0,23.1,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 12, upperchoice",1300.0,9.14,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 13, upperchoice",1300.0,23.5,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 13, upperchoice",1300.0,6.73,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 19, upperchoice",1300.0,5.84,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 19, upperchoice",1300.0,23.0,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 2, upperchoice",1300.0,22.2,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 2, upperchoice",1300.0,10.1,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 24, upperchoice",1300.0,22.3,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 24, upperchoice",1300.0,6.15,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 25, upperchoice",1300.0,21.9,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 25, upperchoice",1300.0,6.49,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 30, upperchoice",1300.0,4.97,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 30, upperchoice",1300.0,23.6,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 31, upperchoice",1300.0,22.1,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 31, upperchoice",1300.0,4.22,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 32, upperchoice",1300.0,2.33,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 32, upperchoice",1300.0,22.3,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 6, upperchoice",1300.0,23.5,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 6, upperchoice",1300.0,6.32,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 7, upperchoice",1300.0,7.33,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 7, upperchoice",1300.0,22.7,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 15, lowerchoice",1300.0,6.22,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 15, lowerchoice",1300.0,23.7,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 20, lowerchoice",1300.0,23.2,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 20, lowerchoice",1300.0,6.69,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 21, lowerchoice",1300.0,23.9,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 21, lowerchoice",1300.0,4.4,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 26, lowerchoice",1300.0,22.9,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 26, lowerchoice",1300.0,4.75,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 27, lowerchoice",1300.0,22.0,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 27, lowerchoice",1300.0,7.49,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 33, lowerchoice",1300.0,4.19,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 33, lowerchoice",1300.0,22.7,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 34, lowerchoice",1300.0,22.6,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 34, lowerchoice",1300.0,4.63,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 4, lowerchoice",1300.0,7.41,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 4, lowerchoice",1300.0,22.4,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 8, lowerchoice",1300.0,23.4,Protein,G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 8, lowerchoice",1300.0,5.42,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 9, lowerchoice",1300.0,8.25,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 9, lowerchoice",1300.0,23.3,Protein,G,13.0,Beef Products
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",1300.0,648.0,Energy,kJ,13.0,Beef Products
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",1300.0,155.0,Energy,KCAL,13.0,Beef Products
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",1300.0,6.39,Total lipid (fat),G,13.0,Beef Products
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",1300.0,22.8,Protein,G,13.0,Beef Products
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",1300.0,0.0,"Carbohydrate, by difference",G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 5, select",1300.0,9.54,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 5, select",1300.0,25.6,Protein,G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 18, select",1300.0,28.9,Protein,G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 18, select",1300.0,5.1,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 22, select",1300.0,27.8,Protein,G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 22, select",1300.0,5.64,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 23, select",1300.0,8.53,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 23, select",1300.0,27.0,Protein,G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 28, select",1300.0,27.8,Protein,G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 28, select",1300.0,3.85,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 29, select",1300.0,27.8,Protein,G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 29, select",1300.0,7.98,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 35, select",1300.0,6.29,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 35, select",1300.0,26.5,Protein,G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 10, select",1300.0,5.15,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 10, select",1300.0,29.1,Protein,G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 11, select",1300.0,28.8,Protein,G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 11, select",1300.0,5.09,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 16, select",1300.0,4.22,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 16, select",1300.0,29.1,Protein,G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 17, select",1300.0,10.7,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 17, select",1300.0,26.5,Protein,G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 36, select",1300.0,4.26,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 36, select",1300.0,26.9,Protein,G,13.0,Beef Products
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",1300.0,176.0,Energy,KCAL,13.0,Beef Products
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",1300.0,27.7,Protein,G,13.0,Beef Products
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",1300.0,6.36,Total lipid (fat),G,13.0,Beef Products
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",1300.0,735.0,Energy,kJ,13.0,Beef Products
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",1300.0,0.0,"Carbohydrate, by difference",G,13.0,Beef Products
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",1300.0,0.0,"Carbohydrate, by difference",G,13.0,Beef Products
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",1300.0,512.0,Energy,kJ,13.0,Beef Products
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",1300.0,122.0,Energy,KCAL,13.0,Beef Products
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",1300.0,2.48,Total lipid (fat),G,13.0,Beef Products
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",1300.0,23.4,Protein,G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 5, select",1300.0,2.77,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 5, select",1300.0,23.8,Protein,G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 10, select",1300.0,24.9,Protein,G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 10, select",1300.0,2.35,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 11, select",1300.0,23.8,Protein,G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 11, select",1300.0,2.57,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 16, select",1300.0,1.99,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 16, select",1300.0,24.2,Protein,G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 17, select",1300.0,23.8,Protein,G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 17, select",1300.0,3.5,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 18, select",1300.0,2.43,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 18, select",1300.0,24.9,Protein,G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 22, select",1300.0,23.6,Protein,G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 22, select",1300.0,2.77,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 23, select",1300.0,4.23,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 23, select",1300.0,23.2,Protein,G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 28, select",1300.0,22.7,Protein,G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 28, select",1300.0,1.16,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 29, select",1300.0,23.9,Protein,G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 29, select",1300.0,1.31,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 35, select",1300.0,0.53,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 35, select",1300.0,22.8,Protein,G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 36, select",1300.0,22.2,Protein,G,13.0,Beef Products
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 36, select",1300.0,3.27,Total lipid (fat),G,13.0,Beef Products
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",1300.0,2.41,Total lipid (fat),G,13.0,Beef Products
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",1300.0,514.0,Energy,kJ,13.0,Beef Products
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",1300.0,123.0,Energy,KCAL,13.0,Beef Products
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",1300.0,0.0,"Carbohydrate, by difference",G,13.0,Beef Products
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",1300.0,23.7,Protein,G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 12, upperchoice",1300.0,11.3,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 12, upperchoice",1300.0,27.9,Protein,G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 1, upperchoice",1300.0,25.4,Protein,G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 1, upperchoice",1300.0,14.0,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 19, upperchoice",1300.0,14.0,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 19, upperchoice",1300.0,26.3,Protein,G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 24, upperchoice",1300.0,12.9,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 24, upperchoice",1300.0,27.7,Protein,G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 25, upperchoice",1300.0,10.2,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 25, upperchoice",1300.0,28.3,Protein,G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 30, upperchoice",1300.0,15.0,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 30, upperchoice",1300.0,27.0,Protein,G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 31, upperchoice",1300.0,12.8,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 31, upperchoice",1300.0,27.0,Protein,G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 32, upperchoice",1300.0,25.4,Protein,G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 32, upperchoice",1300.0,14.3,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 2, upperchoice",1300.0,24.6,Protein,G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 2, upperchoice",1300.0,12.4,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 6, upperchoice",1300.0,28.0,Protein,G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 6, upperchoice",1300.0,10.8,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 7, upperchoice",1300.0,27.9,Protein,G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 7, upperchoice",1300.0,8.75,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 13, upperchoice",1300.0,11.0,Total lipid (fat),G,13.0,Beef Products
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 13, upperchoice",1300.0,28.2,Protein,G,13.0,Beef Products
