food_description,code,nutrient_amount,nutrient_name,nutrient_unit,food_category_id,food_category
Whole eggs,100.0,10.3,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg, whole, raw, frozen, pasteurized",100.0,0.91,"Carbohydrate, by difference",G,1.0,Dairy and Egg Products
"Egg, whole, raw, frozen, pasteurized",100.0,150.0,Energy,KCAL,1.0,Dairy and Egg Products
"Egg, whole, raw, frozen, pasteurized",100.0,12.3,Protein,G,1.0,Dairy and Egg Products
"Egg, whole, raw, frozen, pasteurized",100.0,627.0,Energy,kJ,1.0,Dairy and Egg Products
"Egg, whole, raw, frozen, pasteurized",100.0,10.3,Total lipid (fat),G,1.0,Dairy and Egg Products
Egg whites,100.0,0.1,Total lipid (fat),G,1.0,Dairy and Egg Products
Egg whites,100.0,0.13,Total lipid (fat),G,1.0,Dairy and Egg Products
Egg whites,100.0,0.15,Total lipid (fat),G,1.0,Dairy and Egg Products
Egg whites,100.0,0.19,Total lipid (fat),G,1.0,Dairy and Egg Products
Egg whites,100.0,0.12,Total lipid (fat),G,1.0,Dairy and Egg Products
Egg whites,100.0,0.15,Total lipid (fat),G,1.0,Dairy and Egg Products
Egg whites,100.0,0.15,Total lipid (fat),G,1.0,Dairy and Egg Products
Egg whites,100.0,0.16,Total lipid (fat),G,1.0,Dairy and Egg Products
Egg whites,100.0,0.14,Total lipid (fat),G,1.0,Dairy and Egg Products
Egg whites,100.0,0.1,Total lipid (fat),G,1.0,Dairy and Egg Products
Egg whites,100.0,0.17,Total lipid (fat),G,1.0,Dairy and Egg Products
Egg whites,100.0,0.11,Total lipid (fat),G,1.0,Dairy and Egg Products
Egg whites,100.0,0.16,Total lipid (fat),G,1.0,Dairy and Egg Products
Egg whites,100.0,0.23,Total lipid (fat),G,1.0,Dairy and Egg Products
Egg whites,100.0,0.17,Total lipid (fat),G,1.0,Dairy and Egg Products
Egg whites,100.0,0.26,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg, white, raw, frozen, pasteurized",100.0,0.16,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg, white, raw, frozen, pasteurized",100.0,201.0,Energy,kJ,1.0,Dairy and Egg Products
"Egg, white, raw, frozen, pasteurized",100.0,48.0,Energy,KCAL,1.0,Dairy and Egg Products
"Egg, white, raw, frozen, pasteurized",100.0,0.74,"Carbohydrate, by difference",G,1.0,Dairy and Egg Products
"Egg, white, raw, frozen, pasteurized",100.0,10.1,Protein,G,1.0,Dairy and Egg Products
"Egg whites, dried",100.0,0.34,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg whites, dried",100.0,0.58,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg whites, dried",100.0,0.59,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg whites, dried",100.0,0.51,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg whites, dried",100.0,0.54,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg whites, dried",100.0,0.72,Total lipid (fat),G,1.0,Dairy and Egg Products
